number,id,domain,control,cursor_behavior,enterprise_setting,risk,evidence,verified,claim_basis,owner,verification_method,pass_criteria
1,identity-sso,Identity,Enforce SSO,Require SAML or OIDC SSO and disable local login where the plan permits it.,"Verify supported IdP, enforcement scope, break-glass behavior, and domain claim in the admin console.","Account takeover, orphaned access, or local-login bypass.",https://cursor.com/enterprise,2026-09-12,official-public,Identity admin,Sign in with an assigned user and attempt a local-login bypass.,Assigned users authenticate through the approved IdP and local bypass is blocked.
2,identity-scim,Identity,Automate SCIM lifecycle,Provision and deprovision users and groups from the authoritative directory.,"Verify group mapping, seat removal, token revocation, and plan availability in the contract and console.","Account takeover, orphaned access, or local-login bypass.",https://cursor.com/enterprise | https://cursor.com/pricing,2026-09-12,official-public,Identity admin,"Create, update, suspend, and delete a test user through SCIM.",Every lifecycle event reaches Cursor within the documented service window.
3,identity-break-glass,Identity,Control break-glass access,"Keep emergency admin access limited, monitored, and tested.",Cursor's public pages do not define a universal break-glass workflow; verify available controls.,"Account takeover, orphaned access, or local-login bypass.",https://cursor.com/security,2026-09-12,kyenai-recommendation,Security,Review named emergency accounts and run a documented access test.,"Emergency access has MFA, a named owner, an expiry or review date, and an audit trail."
4,roles-admin,Authorization,Minimize admin roles,Assign organization roles according to least privilege.,Verify the exact role catalog and permissions in the active workspace.,Privilege creep or an unreviewed user gaining administrative scope.,https://cursor.com/enterprise,2026-09-12,official-public,Cursor workspace owner,Export or review every privileged member and business justification.,Each privileged account has a current owner and required responsibility.
5,groups-separation,Authorization,Separate pilot and production groups,Use identity groups and policies to isolate experimental users from production-facing teams.,Verify whether every required policy can be scoped by group.,Privilege creep or an unreviewed user gaining administrative scope.,https://cursor.com/enterprise,2026-09-12,kyenai-recommendation,Platform engineering,"Compare membership, repository scope, models, MCPs, and agent rules across groups.",Pilot permissions cannot silently expand production access.
6,privacy-enforcement,Data governance,Enforce Privacy Mode org-wide,Enable and enforce Privacy Mode for all covered users.,"Verify plan, workspace, account, and client-specific behavior in the console and agreement.","Unapproved retention, training, provider, subprocessor, or residency exposure.",https://cursor.com/security | https://cursor.com/data-use | https://cursor.com/enterprise,2026-09-12,official-public,Security,Inspect the organization setting and test inheritance with a new member.,New and existing members inherit the enforced setting.
7,training-exclusion,Data governance,Verify training exclusion,Confirm that Privacy Mode excludes customer data from Cursor and model-provider training.,Required: public marketing alone is not sufficient for the buyer's legal requirement.,"Unapproved retention, training, provider, subprocessor, or residency exposure.",https://cursor.com/security | https://cursor.com/data-use | https://cursor.com/enterprise,2026-09-12,official-public,Legal and security,Map the public claim to the signed DPA or MSA and active workspace setting.,Contract language and console configuration support the same exclusion.
8,provider-retention,Data governance,Verify model-provider retention,Confirm the zero-data-retention arrangement for every enabled provider and model.,"Required: validate provider, model, region, abuse-monitoring exception, and change notification in contract or trust evidence.","Unapproved retention, training, provider, subprocessor, or residency exposure.",https://cursor.com/data-use | https://cursor.com/enterprise,2026-09-12,official-public,Privacy,Request the provider matrix and compare it with the model allowlist.,Each enabled model has a documented retention treatment and exception path.
9,cursor-retention,Data governance,Define Cursor-side retention,"Document retention for prompts, code context, indexes, logs, analytics, support records, and backups.","Unknown until the active agreement, plan, features, and support process are reviewed.","Unapproved retention, training, provider, subprocessor, or residency exposure.",https://cursor.com/data-use | https://cursor.com/security | https://prod.cursor.com/docs/enterprise/privacy-and-data-governance,2026-09-12,kyenai-recommendation,Privacy,"Build a data-flow and retention table from contract, product settings, and trust evidence.","Every data class has a duration, deletion path, and accountable owner."
10,subprocessors,Data governance,Review subprocessors,Review Cursor and model-provider subprocessors before rollout and after changes.,Verify contract notice period and objection or termination rights.,"Unapproved retention, training, provider, subprocessor, or residency exposure.",https://cursor.com/security,2026-09-12,official-public,Vendor risk,"Download the current list, record purpose and location, and test change-notice handling.",All material processors are approved or have a documented exception.
11,data-residency,Data governance,Confirm data residency,"Map required regions to actual processing, storage, backup, and support locations.",Public pages do not establish a universal customer-selectable residency option; verify contractually.,"Unapproved retention, training, provider, subprocessor, or residency exposure.",https://cursor.com/security,2026-09-12,kyenai-recommendation,Legal and security,Compare architecture and subprocessor evidence with policy requirements.,No unapproved region receives protected data.
12,encryption,Data protection,Verify encryption controls,Confirm TLS in transit and AES-256 at rest claims for covered services.,"Verify feature scope, exclusions, key ownership, and availability of CMEK in the purchased plan.",Protected code or prompts exposed without the required encryption boundary.,https://cursor.com/enterprise | https://cursor.com/security,2026-09-12,official-public,Security,"Review trust evidence and, where available, configuration for customer-managed keys.",Required data paths meet the organization's encryption standard.
13,repo-policy,Repository access,Apply repository allowlists or blocklists,Limit which repositories agents and users may access.,"Verify whether policy is allowlist, blocklist, or both and which agent surfaces it covers.",Sensitive repositories or files become available to an agent unexpectedly.,https://cursor.com/enterprise | https://cursor.com/pricing,2026-09-12,official-public,Platform engineering,Attempt access to one approved and one denied repository.,Approved access works; denied access fails and is logged.
14,sensitive-files,Repository access,Protect sensitive files,Use repository exclusions and product policy to keep secrets and restricted paths out of AI requests.,Cursor describes best-effort exclusions; verify residual risk and do not treat ignore files as a secret boundary.,Sensitive repositories or files become available to an agent unexpectedly.,https://cursor.com/security,2026-09-12,kyenai-recommendation,Repository owner,Run a controlled test against denied paths and inspect client behavior.,"Restricted files are not intentionally included in prompts, indexes, or agent actions."
15,model-policy,Model governance,Restrict model access,Allow only approved models and providers.,"Verify new-model defaults, router behavior, provider retention, and change control.",An unapproved model or provider receives company code or prompts.,https://cursor.com/enterprise | https://cursor.com/pricing,2026-09-12,official-public,AI platform owner,Compare the console allowlist with procurement and privacy approvals.,Only reviewed models are selectable or routable.
16,mcp-policy,Tool governance,Restrict MCP servers,Allow only reviewed MCP servers and remove stale connections.,"Verify policy coverage for desktop, CLI, cloud agents, plugins, and user-defined servers.",An unreviewed MCP server or credential can perform an external action.,https://cursor.com/enterprise | https://cursor.com/pricing,2026-09-12,official-public,AI platform owner,Attempt to connect an approved and an unapproved MCP server.,Unapproved servers are blocked; approved servers have an owner and review date.
17,mcp-secrets,Tool governance,Protect MCP credentials,Issue scoped credentials per server and avoid long-lived shared secrets.,Verify where tokens are stored and which administrators or agents can reveal them.,An unreviewed MCP server or credential can perform an external action.,https://cursor.com/security,2026-09-12,kyenai-recommendation,Security,"Inspect the credential store, scopes, rotation record, and revocation test.","Credentials are least-privileged, non-exported where possible, rotated, and revocable."
18,agent-global-rules,Agent governance,Set global agent rules,Configure organization-wide agent policies before broad rollout.,"Verify precedence, supported clients, sync timing, and exception workflow.","Autonomous commands, network access, or prompt injection cross the approval boundary.",https://cursor.com/enterprise,2026-09-12,official-public,Platform engineering,Inspect required rules and test behavior with a new user.,Mandatory rules apply to supported agent surfaces and cannot be silently bypassed.
19,auto-run-controls,Agent governance,"Constrain auto-run, browser, and network access","Set conservative defaults for autonomous terminal, browser, and network actions.","Verify differences among local, CLI, background, and cloud agents.","Autonomous commands, network access, or prompt injection cross the approval boundary.",https://cursor.com/pricing | https://cursor.com/security,2026-09-12,official-public,Security,Run controlled allowed and denied actions in each supported agent surface.,Denied actions require approval or fail; allowed actions are traceable.
20,sandbox,Agent governance,Enforce sandbox policy,Use restricted execution for agent terminal commands where supported.,"Verify team-wide enforcement, bypass permissions, platform differences, and known exclusions.","Autonomous commands, network access, or prompt injection cross the approval boundary.",https://cursor.com/blog/enterprise | https://cursor.com/security,2026-09-12,official-public,Endpoint and platform engineering,"Test workspace boundaries, temporary-file access, network denial, and escape handling.",The configured sandbox restricts the expected files and network paths.
21,hooks,Agent governance,Distribute security hooks,Use managed hooks to observe or block sensitive agent actions.,"Verify server-side distribution, tamper resistance, timeout behavior, and plan availability.","Autonomous commands, network access, or prompt injection cross the approval boundary.",https://cursor.com/blog/enterprise | https://cursor.com/pricing,2026-09-12,official-public,Platform engineering,Trigger before-prompt and before-command hooks with allowed and denied examples.,"Required hooks run, fail closed where intended, and generate reviewable evidence."
22,prompt-injection,Agent governance,Test prompt-injection resistance,"Exercise untrusted repository, web, issue, and MCP content against the approved configuration.",No public vendor page proves safety for the buyer's exact tools and data; validate locally.,"Autonomous commands, network access, or prompt injection cross the approval boundary.",https://cursor.com/security,2026-09-12,kyenai-recommendation,Product security,Run a documented adversarial test with canary secrets and denied tools.,The agent does not exfiltrate canaries or cross the configured approval boundary.
23,audit-log,Logging,Enable and export audit logs,"Capture access, administrative, rule, and configuration events.","Verify event catalog, retention, API or export, latency, and plan limits.","The organization cannot attribute, investigate, or prove a high-risk action.",https://cursor.com/blog/enterprise | https://cursor.com/pricing,2026-09-12,official-public,Security operations,Change a test setting and confirm the event appears in dashboard and CSV export.,"Event identity, timestamp, action, target, and outcome are available for the required period."
24,analytics-export,Logging,Govern analytics and API exports,"Review adoption, usage, and AI-code metrics without over-collecting employee data.",Verify exact fields and legal basis before enabling broad reporting.,"The organization cannot attribute, investigate, or prove a high-risk action.",https://cursor.com/enterprise | https://cursor.com/blog/enterprise,2026-09-12,official-public,Data governance,"Inventory dashboard fields, API outputs, recipients, and retention.","Metrics have a declared purpose, access control, retention period, and employee notice where required."
