number,id,title,risk,guidance,verification_method,pass_criteria,claim_basis,source_urls
1,token-audience-validation,Validate access-token audience,Critical,"For HTTP transports, accept only access tokens explicitly issued for the MCP server and validate their audience before every protected request.","Send valid, wrong-audience, expired, and unsigned tokens to each protected endpoint.",Only the valid audience-bound token is accepted; every other token is rejected without reaching a tool.,Official MCP requirement or guidance,https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization | https://modelcontextprotocol.io/specification/draft/basic/authorization/security-considerations
2,per-client-consent,Require per-client consent,Critical,MCP proxy servers that reuse a third-party OAuth client must record consent per user and MCP client before forwarding authorization.,"Authorize one client, then initiate the same flow from a new client ID while the original consent cookie remains present.",The new client receives its own consent screen and cannot inherit the first client's approval.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
3,redirect-state-csrf,"Validate redirect URIs, state, and CSRF",Critical,"Use exact redirect URI matching, single-use short-lived state values, CSRF protection, and secure consent cookies in OAuth flows.","Replay state values and try wildcard, changed, missing, and attacker-controlled redirect URIs.",Every mismatch or replay is rejected and approved redirects use exact registered values.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
4,reject-token-passthrough,Reject token passthrough,Critical,Do not accept an upstream token and forward it to another service without verifying that it was issued for the MCP server.,Present a token issued only for a downstream API and trace whether it can cross the MCP boundary.,The MCP server rejects the token and never forwards it downstream.,Official MCP requirement or guidance,https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization | https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
5,scope-minimization,Minimize scopes and elevate incrementally,High,Request the smallest initial scope set and add access only when a specific operation requires it.,Map every requested scope to one enabled method and run the workflow with optional scopes removed.,No unused wildcard or admin scope remains and elevation is explicit and operation-specific.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices | https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization
6,secret-storage-rotation,Protect and rotate secrets and tokens,Critical,"Keep credentials out of prompts, source control, tool output, screenshots, and ordinary logs; use managed storage and short-lived credentials where practical.","Scan configuration, prompts, logs, errors, screenshots, and source history, then rotate a test credential.",No plaintext credential appears and the old credential stops working after rotation.,KyenAI operational recommendation,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices | https://modelcontextprotocol.io/specification/draft/basic/authorization/security-considerations
7,session-auth-separation,Never use sessions as authentication,Critical,Authorize every inbound request independently; a session identifier must not substitute for an access token or user identity.,Reuse a captured session ID without valid authorization and attempt calls against another server instance.,The request is rejected and the session ID alone grants no capability.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
8,session-id-security,"Secure, bind, rotate, and expire session IDs",High,"Generate non-deterministic session IDs, bind them to authorized user context, and rotate or expire them to limit hijacking.","Test predictable IDs, cross-user reuse, cross-instance replay, and expired-session behavior.","IDs are unguessable, user-bound, time-bounded, and rejected outside their authorized context.",Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
9,authorization-url-schemes,Allow only safe authorization URL schemes,Critical,"Accept HTTPS authorization URLs in production and reject javascript:, data:, file:, vbscript:, and other executable schemes.","Return authorization endpoints using unsafe schemes, encoded variants, and HTTP on non-loopback hosts.",Only HTTPS production URLs and explicitly allowed loopback development URLs open.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
10,safe-url-opening,Open authorization URLs without a shell,Critical,"Use platform URL APIs rather than cmd, sh, PowerShell, or interpolated shell commands when opening authorization links.","Supply URLs containing shell metacharacters, quotes, spaces, and encoded command separators.","The URL is parsed as data, no shell starts, and suspicious values are rejected and logged.",Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
11,ssrf-private-ranges,Block SSRF to private and metadata ranges,Critical,"Validate OAuth discovery URLs and block loopback, private, link-local, reserved, and cloud metadata destinations outside explicit development exceptions.","Try IPv4, IPv6, encoded, hostname, and cloud-metadata targets through every URL-fetching path.",All private or reserved destinations are blocked before connection and responses are not reflected.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices | https://modelcontextprotocol.io/specification/draft/basic/authorization/security-considerations
12,redirect-dns-validation,Revalidate redirects and DNS results,High,Apply URL and IP validation to every redirect hop and defend against DNS rebinding or time-of-check/time-of-use changes.,Use redirect chains and a test hostname that changes from a public to a private address.,Every hop is revalidated and a destination change to a blocked address terminates the request.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
13,egress-allowlist,Enforce an outbound network allowlist,High,Route server-side discovery and tool traffic through network policy or an egress proxy that permits only declared destinations.,"Attempt direct IP, undeclared domain, private range, redirect, and DNS-rebinding egress from the runtime.",Only reviewed destinations succeed and bypass paths cannot reach undeclared networks.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
14,local-install-consent,Require consent before local server installation,Critical,"Before one-click local setup, show the exact command and explain that it executes with the client's local privileges.",Start installation from a deep link or imported configuration and inspect the complete pre-execution consent flow.,No command runs before explicit approval and the user can cancel without side effects.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
15,command-visibility-warnings,Display full commands and dangerous-pattern warnings,High,"Do not truncate local startup commands; highlight sudo, destructive deletion, network calls, and access to sensitive paths.","Test long, multiline, obfuscated, and destructive commands in the installation dialog.",The entire command is visible and dangerous patterns produce a clear warning before approval.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
16,local-server-sandbox,Sandbox local MCP servers,Critical,"Run local servers with minimal filesystem, process, and network privileges and require explicit grants for additional access.","Attempt to read outside allowed roots, spawn child processes, reach the network, and access system credentials.",Default-denied actions fail and each additional privilege requires a narrow explicit grant.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices | https://modelcontextprotocol.io/specification/draft/basic/authorization/security-considerations
17,stdio-proxy-restrictions,Restrict stdio proxy process spawning,Critical,"When a proxy can spawn stdio servers, isolate the proxy, authorize dangerous commands separately, and log process creation.","Use a compromised-client test to request an arbitrary executable, unexpected arguments, and access outside the sandbox.",Unapproved commands and arguments are denied and allowed process creation is attributable and contained.,Official MCP requirement or guidance,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices
18,tool-level-permissions,Inventory and scope every exposed tool,High,"Decide visibility, callability, target scope, owner, rollback path, and approval policy for each tool rather than trusting one server-wide grant.",Enumerate tools with MCP Inspector and compare them with the approved capability inventory.,Every exposed tool has a declared workflow and no undeclared or wildcard capability remains.,KyenAI operational recommendation,https://modelcontextprotocol.io/docs/tools/inspector
19,read-write-delete-separation,"Separate read, write, and delete capabilities",High,"Offer a useful read-only profile without bundling mutation, deletion, secret, network, or production permissions.",Run the read-only workflow and attempt every mutation and deletion method with the same identity.,Reads work within declared roots while all write and delete attempts are denied.,KyenAI operational recommendation,https://modelcontextprotocol.io/docs/tools/inspector
