tool,path,status,surfaces,scopes,priority,nesting,recommendation,source_url,publisher,verified_at
"OpenAI Codex","AGENTS.override.md → AGENTS.md → configured fallback filename","documented","Codex app|Codex CLI|Codex IDE extension|Codex web","user|repository|nested-directory","At startup, Codex reads the first non-empty global file from AGENTS.override.md then AGENTS.md. From the project root to the initial working directory, each directory contributes at most one non-empty file selected in this order: AGENTS.override.md, AGENTS.md, then configured project_doc_fallback_filenames.","Codex concatenates the selected project files from root toward the initial working directory. Closer files appear later and override earlier guidance; discovery stops at that initial working directory rather than expanding dynamically into other directories.","Keep shared rules in root AGENTS.md, use AGENTS.override.md only where it should win within one directory, and reserve configured fallback filenames for repositories that require another recognized name.","https://learn.chatgpt.com/docs/agent-configuration/agents-md","OpenAI","2026-07-14"
"Claude Code","CLAUDE.md","documented","Claude Code","user|repository|nested-directory|path-specific","CLAUDE.md files above the working directory load at launch; files in child directories load when Claude works with files there.","Use nested CLAUDE.md files or path-scoped rules for instructions that should not apply repository-wide.","Put stable repository commands in root CLAUDE.md and move specialized guidance into scoped files.","https://code.claude.com/docs/en/memory","Anthropic","2026-07-14"
"Claude Code","CLAUDE.md containing @AGENTS.md","documented","Claude Code","repository","Claude Code does not read AGENTS.md directly. Its documented bridge is a CLAUDE.md file that imports @AGENTS.md, followed by any Claude-specific guidance.","The imported path resolves relative to the CLAUDE.md file. Imports can recurse to a maximum depth of four hops; a symlink is another documented option where supported.","Use @AGENTS.md from CLAUDE.md when Codex, Copilot, and Claude Code should share a single shared baseline without duplicating repository rules.","https://code.claude.com/docs/en/memory","Anthropic","2026-07-14"
"GitHub Copilot",".github/copilot-instructions.md","documented","GitHub.com Copilot Chat|GitHub.com Copilot cloud agent|GitHub.com Copilot code review|VS Code Copilot Chat|VS Code Copilot cloud agent|VS Code Copilot code review|Visual Studio Copilot Chat|Visual Studio Copilot code review|JetBrains Copilot Chat|JetBrains Copilot cloud agent|JetBrains Copilot code review|Eclipse Copilot Chat|Eclipse Copilot cloud agent|Xcode Copilot Chat|Xcode Copilot cloud agent|Xcode Copilot code review|Copilot CLI","repository","Repository-wide instructions are combined with applicable path-specific instructions where supported.","This file has one fixed repository-wide location; use .github/instructions/*.instructions.md for paths.","Use .github/copilot-instructions.md as the most portable Copilot baseline, even when AGENTS.md or CLAUDE.md also exists for agent-specific surfaces.","https://docs.github.com/en/copilot/reference/custom-instructions-support","GitHub","2026-07-14"
"GitHub Copilot",".github/instructions/**/*.instructions.md","documented","GitHub.com Copilot cloud agent|GitHub.com Copilot code review|VS Code Copilot Chat|VS Code Copilot cloud agent|Visual Studio Copilot Chat|JetBrains Copilot Chat|JetBrains Copilot cloud agent|JetBrains Copilot code review|Eclipse Copilot cloud agent|Xcode Copilot Chat|Xcode Copilot cloud agent|Xcode Copilot code review|Copilot CLI","path-specific","When a file path matches and repository-wide instructions also exist, GitHub documents that both instruction sets are used.","Path-specific files live under .github/instructions and are combined with .github/copilot-instructions.md where the selected surface supports them.","Use path-specific files for language, package, or directory rules, but keep cross-repository commands and guardrails in the repository-wide Copilot file.","https://docs.github.com/en/copilot/how-tos/copilot-on-github/customize-copilot/add-custom-instructions/add-repository-instructions","GitHub","2026-07-14"
"GitHub Copilot","AGENTS.md","documented","GitHub.com Copilot cloud agent|GitHub.com Copilot code review|VS Code Copilot Chat|VS Code Copilot cloud agent|JetBrains Copilot cloud agent|Eclipse Copilot cloud agent|Xcode Copilot cloud agent|Copilot CLI","repository|nested-directory","GitHub documents that the nearest AGENTS.md file in the directory tree takes precedence when Copilot is working.","One or more AGENTS.md files may be stored throughout the repository; surface support still varies according to GitHub's current matrix.","Use AGENTS.md for nested agent guidance shared with Codex and supported Copilot surfaces, plus .github/copilot-instructions.md when broad Copilot coverage matters.","https://docs.github.com/en/copilot/how-tos/copilot-on-github/customize-copilot/add-custom-instructions/add-repository-instructions","GitHub","2026-07-14"
"GitHub Copilot","CLAUDE.md","documented","GitHub.com Copilot cloud agent|VS Code Copilot cloud agent|JetBrains Copilot cloud agent|Eclipse Copilot cloud agent|Xcode Copilot cloud agent|Copilot CLI","repository","GitHub's support matrix lists CLAUDE.md as agent instructions on these cloud-agent surfaces and in Copilot CLI.","The support matrix establishes file-type support by surface; no broader CLAUDE.md scope behavior is inferred here.","Keep CLAUDE.md when Claude Code is part of the workflow or Copilot CLI should reuse it, but add .github/copilot-instructions.md for Copilot surfaces beyond agent instructions.","https://docs.github.com/en/copilot/reference/custom-instructions-support","GitHub","2026-07-14"
"GitHub Copilot","CLAUDE.md","unsupported","GitHub.com Copilot Chat|GitHub.com Copilot code review|VS Code Copilot Chat|VS Code Copilot code review|Visual Studio Copilot Chat|Visual Studio Copilot code review|JetBrains Copilot Chat|JetBrains Copilot code review|Eclipse Copilot Chat|Eclipse Copilot code review|Xcode Copilot Chat|Xcode Copilot code review","repository","GitHub's current support matrix does not list CLAUDE.md agent instructions for these surfaces.","Do not rely on CLAUDE.md to provide Copilot instructions on a surface where the matrix does not list it.","Mirror shared guidance in .github/copilot-instructions.md and use AGENTS.md only where its surface is documented.","https://docs.github.com/en/copilot/reference/custom-instructions-support","GitHub","2026-07-14"
"Cursor",".cursor/rules/*.mdc","documented","Cursor IDE|Cursor CLI","repository|path-specific","Rule metadata controls whether a rule is always applied, matched to files, requested, or selected manually.","Store focused project rules under .cursor/rules and use matching metadata to limit their scope.","Prefer small .mdc rules with explicit descriptions and globs over one large repository prompt.","https://docs.cursor.com/context/rules-for-ai","Cursor","2026-07-14"
"Cursor","AGENTS.md (project root)","documented","Cursor IDE","repository","Cursor documents root-level AGENTS.md as a plain Markdown alternative to .cursor/rules for straightforward project-wide instructions.","The cited Cursor IDE documentation limits AGENTS.md to the project root and global scope; it does not document nested AGENTS.md support on this surface.","Use root AGENTS.md when one readable project-wide file is sufficient; use .cursor/rules when metadata, path scoping, or multiple focused rules are needed.","https://docs.cursor.com/context/rules-for-ai","Cursor","2026-07-14"
"Cursor","AGENTS.md (project root)","documented","Cursor CLI","repository","Cursor CLI reads AGENTS.md at the project root and applies it alongside .cursor/rules.","The cited CLI page documents the project-root file and does not establish nested AGENTS.md discovery.","Use AGENTS.md to share a simple root policy with Codex and Cursor CLI; keep Cursor-specific scoped rules in .cursor/rules.","https://docs.cursor.com/en/cli/using","Cursor","2026-07-14"
"Cursor","CLAUDE.md (project root)","documented","Cursor CLI","repository","Cursor CLI reads CLAUDE.md at the project root and applies it alongside .cursor/rules.","The cited CLI page documents the project-root file and does not establish Claude Code's broader memory precedence inside Cursor.","Reuse CLAUDE.md in Cursor CLI when the shared root policy is intentional; use .cursor/rules for Cursor-specific scope and metadata.","https://docs.cursor.com/en/cli/using","Cursor","2026-07-14"
"Cursor",".cursorrules","legacy","Cursor IDE","repository","Cursor documents .cursorrules as a legacy root file that remains supported but is deprecated in favor of Project Rules.","The legacy file is repository-wide and does not provide the metadata or nested rule organization available under .cursor/rules.","Migrate this deprecated legacy format to .cursor/rules, compare behavior before removal, and keep the old file only while an older workflow still depends on it.","https://docs.cursor.com/context/rules-for-ai","Cursor","2026-07-14"
