number,id,domain,title,owner,guidance,verification_method,pass_criteria,claim_basis,contract_or_console_check,source_urls,version,verified_at
1,identity-sso,Identity,Enforce SSO,Identity admin,Require SAML or OIDC SSO and disable local login where the plan permits it.,Sign in with an assigned user and attempt a local-login bypass.,Assigned users authenticate through the approved IdP and local bypass is blocked.,official-public,"Verify supported IdP, enforcement scope, break-glass behavior, and domain claim in the admin console.",https://cursor.com/enterprise,1.0.0,2026-07-30
2,identity-scim,Identity,Automate SCIM lifecycle,Identity admin,Provision and deprovision users and groups from the authoritative directory.,"Create, update, suspend, and delete a test user through SCIM.",Every lifecycle event reaches Cursor within the documented service window.,official-public,"Verify group mapping, seat removal, token revocation, and plan availability in the contract and console.",https://cursor.com/enterprise | https://cursor.com/pricing,1.0.0,2026-07-30
3,identity-break-glass,Identity,Control break-glass access,Security,"Keep emergency admin access limited, monitored, and tested.",Review named emergency accounts and run a documented access test.,"Emergency access has MFA, a named owner, an expiry or review date, and an audit trail.",kyenai-recommendation,Cursor's public pages do not define a universal break-glass workflow; verify available controls.,https://cursor.com/security,1.0.0,2026-07-30
4,roles-admin,Authorization,Minimize admin roles,Cursor workspace owner,Assign organization roles according to least privilege.,Export or review every privileged member and business justification.,Each privileged account has a current owner and required responsibility.,official-public,Verify the exact role catalog and permissions in the active workspace.,https://cursor.com/enterprise,1.0.0,2026-07-30
5,groups-separation,Authorization,Separate pilot and production groups,Platform engineering,Use identity groups and policies to isolate experimental users from production-facing teams.,"Compare membership, repository scope, models, MCPs, and agent rules across groups.",Pilot permissions cannot silently expand production access.,kyenai-recommendation,Verify whether every required policy can be scoped by group.,https://cursor.com/enterprise,1.0.0,2026-07-30
6,privacy-enforcement,Data governance,Enforce Privacy Mode org-wide,Security,Enable and enforce Privacy Mode for all covered users.,Inspect the organization setting and test inheritance with a new member.,New and existing members inherit the enforced setting.,official-public,"Verify plan, workspace, account, and client-specific behavior in the console and agreement.",https://cursor.com/security | https://cursor.com/data-use | https://cursor.com/enterprise,1.0.0,2026-07-30
7,training-exclusion,Data governance,Verify training exclusion,Legal and security,Confirm that Privacy Mode excludes customer data from Cursor and model-provider training.,Map the public claim to the signed DPA or MSA and active workspace setting.,Contract language and console configuration support the same exclusion.,official-public,Required: public marketing alone is not sufficient for the buyer's legal requirement.,https://cursor.com/security | https://cursor.com/data-use | https://cursor.com/enterprise,1.0.0,2026-07-30
8,provider-retention,Data governance,Verify model-provider retention,Privacy,Confirm the zero-data-retention arrangement for every enabled provider and model.,Request the provider matrix and compare it with the model allowlist.,Each enabled model has a documented retention treatment and exception path.,official-public,"Required: validate provider, model, region, abuse-monitoring exception, and change notification in contract or trust evidence.",https://cursor.com/data-use | https://cursor.com/enterprise,1.0.0,2026-07-30
9,cursor-retention,Data governance,Define Cursor-side retention,Privacy,"Document retention for prompts, code context, indexes, logs, analytics, support records, and backups.","Build a data-flow and retention table from contract, product settings, and trust evidence.","Every data class has a duration, deletion path, and accountable owner.",kyenai-recommendation,"Unknown until the active agreement, plan, features, and support process are reviewed.",https://cursor.com/data-use | https://cursor.com/security | https://docs.cursor.com/account/privacy,1.0.0,2026-07-30
10,subprocessors,Data governance,Review subprocessors,Vendor risk,Review Cursor and model-provider subprocessors before rollout and after changes.,"Download the current list, record purpose and location, and test change-notice handling.",All material processors are approved or have a documented exception.,official-public,Verify contract notice period and objection or termination rights.,https://cursor.com/security,1.0.0,2026-07-30
11,data-residency,Data governance,Confirm data residency,Legal and security,"Map required regions to actual processing, storage, backup, and support locations.",Compare architecture and subprocessor evidence with policy requirements.,No unapproved region receives protected data.,kyenai-recommendation,Public pages do not establish a universal customer-selectable residency option; verify contractually.,https://cursor.com/security,1.0.0,2026-07-30
12,encryption,Data protection,Verify encryption controls,Security,Confirm TLS in transit and AES-256 at rest claims for covered services.,"Review trust evidence and, where available, configuration for customer-managed keys.",Required data paths meet the organization's encryption standard.,official-public,"Verify feature scope, exclusions, key ownership, and availability of CMEK in the purchased plan.",https://cursor.com/enterprise | https://cursor.com/security,1.0.0,2026-07-30
13,repo-policy,Repository access,Apply repository allowlists or blocklists,Platform engineering,Limit which repositories agents and users may access.,Attempt access to one approved and one denied repository.,Approved access works; denied access fails and is logged.,official-public,"Verify whether policy is allowlist, blocklist, or both and which agent surfaces it covers.",https://cursor.com/enterprise | https://cursor.com/pricing,1.0.0,2026-07-30
14,sensitive-files,Repository access,Protect sensitive files,Repository owner,Use repository exclusions and product policy to keep secrets and restricted paths out of AI requests.,Run a controlled test against denied paths and inspect client behavior.,"Restricted files are not intentionally included in prompts, indexes, or agent actions.",kyenai-recommendation,Cursor describes best-effort exclusions; verify residual risk and do not treat ignore files as a secret boundary.,https://cursor.com/security,1.0.0,2026-07-30
15,model-policy,Model governance,Restrict model access,AI platform owner,Allow only approved models and providers.,Compare the console allowlist with procurement and privacy approvals.,Only reviewed models are selectable or routable.,official-public,"Verify new-model defaults, router behavior, provider retention, and change control.",https://cursor.com/enterprise | https://cursor.com/pricing,1.0.0,2026-07-30
16,mcp-policy,Tool governance,Restrict MCP servers,AI platform owner,Allow only reviewed MCP servers and remove stale connections.,Attempt to connect an approved and an unapproved MCP server.,Unapproved servers are blocked; approved servers have an owner and review date.,official-public,"Verify policy coverage for desktop, CLI, cloud agents, plugins, and user-defined servers.",https://cursor.com/enterprise | https://cursor.com/pricing,1.0.0,2026-07-30
17,mcp-secrets,Tool governance,Protect MCP credentials,Security,Issue scoped credentials per server and avoid long-lived shared secrets.,"Inspect the credential store, scopes, rotation record, and revocation test.","Credentials are least-privileged, non-exported where possible, rotated, and revocable.",kyenai-recommendation,Verify where tokens are stored and which administrators or agents can reveal them.,https://cursor.com/security,1.0.0,2026-07-30
18,agent-global-rules,Agent governance,Set global agent rules,Platform engineering,Configure organization-wide agent policies before broad rollout.,Inspect required rules and test behavior with a new user.,Mandatory rules apply to supported agent surfaces and cannot be silently bypassed.,official-public,"Verify precedence, supported clients, sync timing, and exception workflow.",https://cursor.com/enterprise,1.0.0,2026-07-30
19,auto-run-controls,Agent governance,"Constrain auto-run, browser, and network access",Security,"Set conservative defaults for autonomous terminal, browser, and network actions.",Run controlled allowed and denied actions in each supported agent surface.,Denied actions require approval or fail; allowed actions are traceable.,official-public,"Verify differences among local, CLI, background, and cloud agents.",https://cursor.com/pricing | https://cursor.com/security,1.0.0,2026-07-30
20,sandbox,Agent governance,Enforce sandbox policy,Endpoint and platform engineering,Use restricted execution for agent terminal commands where supported.,"Test workspace boundaries, temporary-file access, network denial, and escape handling.",The configured sandbox restricts the expected files and network paths.,official-public,"Verify team-wide enforcement, bypass permissions, platform differences, and known exclusions.",https://cursor.com/blog/enterprise | https://cursor.com/security,1.0.0,2026-07-30
